系列,球列數,重量(g),dr,D,L, C(kgf), Co(kgf)
LM0824,4,11.3,8,15,24,44,29
LM1026,4,14.4,10,17,26,51,38
LM1228,5,18.1,12,19,28,63,52
LM1428,5,20.6,14,21,28,63,52
LM1630,5,27.2,16,24,30,82,63
LM2030,6,32.7,20,28,30,97,81
LM2540,6,66,25,35,40,203,170
LM3050,7,95,30,40,50,286,276
LM4060,8,180,40,52,60,449,454
LM5070,9,250,50,62,70,561,643
